1001,34231.6470,96747.5760,144.9380,5
1002,34230.3580,96747.1570,144.9440,5
1003,34227.9230,96745.7110,144.9440,5
1004,34226.1750,96743.7720,144.9310,5
1005,34224.7080,96740.1490,144.9390,5
1006,34220.7330,96739.9760,144.9220,5
1007,34221.5500,96743.5980,144.9200,5
1008,34223.6260,96747.1250,144.9170,5
1009,34225.6580,96749.0320,144.9130,5
1010,34228.0020,96750.5560,144.9040,5
1011,34231.5850,96751.6140,144.9120,5
1012,34234.9270,96751.7140,144.9100,5
1013,34237.9220,96751.1060,144.9250,5
1014,34241.0220,96749.6580,144.9220,5
1015,34243.6060,96747.2400,144.9340,5
1016,34245.6920,96744.1270,144.9320,5
1017,34246.5520,96740.9130,144.9420,5
1018,34242.5850,96740.7660,144.9570,5
1019,34241.7180,96742.8620,144.9610,5
1020,34240.5340,96744.7390,144.9370,5
1021,34238.7380,96746.2610,144.9260,5
1022,34235.0490,96747.7340,144.9360,5
1023,34242.7080,96737.3710,144.9540,5
1024,34241.7950,96734.6840,144.9500,5
1025,34240.0990,96732.4390,144.9440,5
1026,34238.1500,96730.8090,144.9370,5
1027,34235.6930,96729.9110,144.9420,5
1028,34235.8670,96725.9360,144.9200,5
1029,34239.3430,96726.9670,144.9230,5
1030,34242.3820,96728.9800,144.9410,5
1031,34244.7820,96731.7500,144.9530,5
1032,34245.9680,96734.1560,144.9410,5
1033,34246.6400,96737.5550,144.9410,5
1034,34232.4720,96725.8950,144.9190,5
1035,34229.4190,96726.4230,144.9300,5
1036,34226.1670,96727.9950,144.9290,5
1037,34223.5480,96730.5720,144.9190,5
1038,34221.7990,96733.3190,144.9200,5
1039,34220.8910,96736.6460,144.9210,5
1040,34224.8140,96736.7200,144.9520,5
1041,34225.6320,96734.5830,144.9500,5
1042,34226.8680,96732.7820,144.9320,5
1043,34228.7080,96731.2520,144.9410,5
1044,34230.2540,96730.3610,144.9410,5
1045,34232.3310,96729.7670,144.9430,5
1046,34231.1190,96741.1150,145.4310,5
1047,34236.0350,96741.3150,145.4360,5
1048,34236.2600,96736.3540,145.4280,5
1049,34231.3540,96736.1990,145.4350,5
1050,34233.6730,96738.8920,145.6470,5
1051,34238.1360,96766.5450,144.8860,5
1052,34242.1820,96765.0430,144.8850,5
1053,34245.8510,96763.6880,144.8870,5
1054,34249.9400,96761.2290,144.8830,5
