1001,a,34231.647,96747.576,144.938
1002,a,34230.358,96747.157,144.944
1003,a,34227.923,96745.711,144.944
1004,a,34226.175,96743.772,144.931
1005,a,34224.708,96740.149,144.939
1006,a,34220.733,96739.976,144.922
1007,a,34221.55,96743.598,144.92
1008,a,34223.626,96747.125,144.917
1009,a,34225.658,96749.032,144.913
1010,a,34228.002,96750.556,144.904
1011,a,34231.585,96751.614,144.912
1012,a,34234.927,96751.714,144.91
1013,a,34237.922,96751.106,144.925
1014,a,34241.022,96749.658,144.922
1015,a,34243.606,96747.24,144.934
1016,a,34245.692,96744.127,144.932
1017,a,34246.552,96740.913,144.942
1018,a,34242.585,96740.766,144.957
1019,a,34241.718,96742.862,144.961
1020,a,34240.534,96744.739,144.937
1021,a,34238.738,96746.261,144.926
1022,a,34235.049,96747.734,144.936
1023,a,34242.708,96737.371,144.954
1024,a,34241.795,96734.684,144.95
1025,a,34240.099,96732.439,144.944
1026,a,34238.15,96730.809,144.937
1027,a,34235.693,96729.911,144.942
1028,a,34235.867,96725.936,144.92
1029,a,34239.343,96726.967,144.923
1030,a,34242.382,96728.98,144.941
1031,a,34244.782,96731.75,144.953
1032,a,34245.968,96734.156,144.941
1033,a,34246.64,96737.555,144.941
1034,a,34232.472,96725.895,144.919
1035,a,34229.419,96726.423,144.93
1036,a,34226.167,96727.995,144.929
1037,a,34223.548,96730.572,144.919
1038,a,34221.799,96733.319,144.92
1039,a,34220.891,96736.646,144.921
1040,a,34224.814,96736.72,144.952
1041,a,34225.632,96734.583,144.95
1042,a,34226.868,96732.782,144.932
1043,a,34228.708,96731.252,144.941
1044,a,34230.254,96730.361,144.941
1045,a,34232.331,96729.767,144.943
1046,a,34231.119,96741.115,145.431
1047,a,34236.035,96741.315,145.436
1048,a,34236.26,96736.354,145.428
1049,a,34231.354,96736.199,145.435
1050,a,34233.673,96738.892,145.647
1051,a,34238.136,96766.545,144.886
1052,a,34242.182,96765.043,144.885
1053,a,34245.851,96763.688,144.887
1054,a,34249.94,96761.229,144.883
1055,a,34253.185,96758.635,144.881
1056,a,34259.02,96764.89,144.876
1057,a,34256.194,96767.261,144.868
1058,a,34252.884,96769.464,144.867
1059,a,34249.17,96771.45,144.867
1060,a,34245.079,96773.136,144.868
1061,a,34239.279,96774.622,144.867
1062,a,34254.161,96757.495,144.876
1063,a,34256.608,96754.522,144.887
1064,a,34258.341,96751.218,144.886
1065,a,34259.924,96747.749,144.885
1066,a,34260.819,96744.994,144.883
1067,a,34269.047,96746.956,144.864
1068,a,34267.911,96750.676,144.866
1069,a,34266.85,96753.369,144.866
1070,a,34264.971,96757.226,144.868
1071,a,34263.08,96759.948,144.866
1072,a,34260.507,96763.382,144.868
1073,a,34275.465,96748.617,144.85
1074,a,34268.496,96763.882,144.852
1075,a,34256.313,96775.276,144.853
1076,a,34240.506,96781.157,144.851
1077,a,34241.024,96784.164,144.834
1078,a,34244.464,96783.442,144.835
1079,a,34247.717,96782.569,144.835
1080,a,34251.033,96781.357,144.835
1081,a,34254.298,96779.892,144.82
1082,a,34257.352,96778.177,144.82
1083,a,34260.278,96776.353,144.823
1084,a,34262.655,96774.469,144.822
1085,a,34265.59,96771.862,144.834
1086,a,34274.621,96781.167,144.85
1087,a,34272.154,96783.544,144.859
1088,a,34269.661,96785.608,144.856
1089,a,34266.578,96787.808,144.846
1090,a,34263.679,96789.69,144.845
1091,a,34260.463,96791.404,144.818
1092,a,34256.962,96793.069,144.817
1093,a,34253.117,96794.605,144.829
1094,a,34248.442,96795.956,144.855
1095,a,34243.141,96797.07,144.842
1096,a,34277.408,96778.436,144.85
1097,a,34279.64,96775.955,144.854
1098,a,34282.359,96772.192,144.839
1099,a,34284.233,96769.211,144.828
1100,a,34287.889,96762.535,144.828
1101,a,34289.312,96758.651,144.839
1102,a,34290.916,96753.448,144.845
1103,a,34291.625,96750.41,144.845
1104,a,34292.315,96746.208,144.845
1105,a,34279.329,96744.516,144.838
1106,a,34278.762,96747.953,144.833
1107,a,34277.76,96751.728,144.824
1108,a,34275.963,96756.799,144.84
1109,a,34273.775,96761.232,144.839
1110,a,34271.666,96764.629,144.844
1111,a,34267.741,96769.617,144.829
1112,a,34250.134,96837.254,144.9
1113,a,34250.134,96837.255,144.901
1114,a,34250.462,96828.999,144.898
1115,a,34252.809,96829.044,145.143
1116,a,34252.713,96819.792,144.922
1117,a,34263.48,96820.023,144.93
1118,a,34267.768,96816.114,144.895
1119,a,34269.3,96817.666,144.94
1120,a,34274.767,96802.645,144.932
1121,a,34278.201,96806.355,144.956
1122,a,34289.133,96799.261,150.516
1123,a,34295.58,96793.24,150.19
1124,a,34294.022,96791.523,150.274
1125,a,34287.582,96797.565,150.176
1126,a,34303.42,96782.811,146.08
1127,a,34300.014,96779.098,144.925
1128,a,34293.953,96787.044,144.89
1129,a,34290.636,96787.351,144.889
1130,a,34287.031,96788.933,144.905
1131,a,34284.141,96792.561,144.904
1132,a,34283.205,96797.121,144.888
1133,a,34315.229,96775.305,144.922
1134,a,34313.998,96772.95,144.909
1135,a,34318.205,96769.061,144.923
1136,a,34318.777,96758.201,144.915
1137,a,34327.959,96758.751,145.431
1138,a,34328.137,96756.626,144.859
1139,a,34336.321,96756.934,144.852
1140,a,34336.322,96756.935,144.852
1141,a,34329.818,96715.474,144.718
1142,a,34326.198,96709.774,144.723
1143,a,34328.129,96708.134,144.757
1144,a,34282.169,96652.627,145.799
1145,a,34279.617,96653.977,144.88
1146,a,34275.833,96648.718,144.834
